Inception,2010,Action,8.8
Toy Story,1995,Animation,8.3
Avatar,2009,Action,7.8
Interstellar,2014,Science Fiction,8.6
The Godfather,1972,Crime,9.2
The Dark Knight,2008,Action,9.0
X-Men First Class,2013,Science Fiction,dfghjhgvf
Her,2013,Science Fiction,8.0
Spirited Away,2001,Animation,8.6
The Matrix,1999,Science Fiction,8.7
Parasite,2019,Thriller,8.6
The Shawshank Redemption,1994,Drama,9.3
Pulp Fiction,1994,Crime,8.9
Forrest Gump,1994,Drama,8.8
Gladiator,2000,Action,8.5
The Lion King,1994,Animation,8.5
Finding Nemo,2003,Animation,8.1
Up,2009,Animation,8.2
Coco,2017,Animation,8.4
The Deep Hunter,1df97h8,Drama,9,4
Inside Out,2015,Animation,8.1
The Social Network,2010,Drama,7.7
Joker,2019,Drama,8.4
The Irishman,2019,Crime,7.9
Tenet,2020,Action,7.4
Mad Max: Fury Road,2015,Action,8.1
Guardians of the Galaxy,2014,Action,8.0
Avengers: Endgame,2019,Action,8.4
Black Panther,2018,Action,7.3
Doctor Strange,2016,Action,7.5
Iron Man,2008,Action,7.9
The Avengers,2012,Action,8.0
Logan,2017,Action,8.1
The Prestige,2006,Drama,8.5
Memento,2000,Thriller,8.4
Se7en,1995,Thriller,8.6
The Silence of the Lambs,1991,Thriller,8.6
Jaws,1975,Thriller,8.0
Alien,1979,Science Fiction,8.4
Blade Runner,1982,Science Fiction,8.1
Back to the Future,1985,Science Fiction,8.5
Star Wars: A New Hope,1977,Science Fiction,8.6
The Empire Strikes Back,1980,Science Fiction,8.7
Return of the Jedi,1983,Science Fiction,8.3
Rogue One,2016,Science Fiction,7.9
La La Land,2016,Musical,8.0
Whiplash,2014,Drama,8.5
The Pianist,2002,Drama,8.5
Schindler's List,1993,Drama,9.0
BadLine missing fields
Goodfellas,1990,Crime,8.7
Casino,1995,Crime,8.2
Heat,1995,Crime,8.3
The Departed,2006,Crime,8.5
City of God,2002,Crime,8.6
Oldboy,2003,Thriller,8.4
The Grand Budapest Hotel,2014,Comedy,8.1
Groundhog Day,1993,Comedy,8.0
The Truman Show,1998,Comedy,8.2
Back to School,1986,Comedy,6.7
The Big Lebowski,1998,Comedy,8.1
The Hangover,2009,Comedy,7.7
Superbad,2007,Comedy,7.6
Ghostbusters,1984,Comedy,7.8
Ferris Bueller's Day Off,1986,Comedy,7.9
Mean Girls,2004,Comedy,7.1
The Breakfast Club,1985,Drama,7.9
12 Angry Men,1957,Drama,9.0
Casablanca,1942,Romance,8.5
Titanic,1997,Romance,7.9
The Notebook,2004,Romance,7.8
Pride and Prejudice,2005,Romance,7.8
A Star Is Born,2018,Romance,7.7
Before Sunrise,1995,Romance,8.1
Before Sunset,2004,Romance,8.0
Before Midnight,2013,Romance,7.9
Eternal Sunshine of the Spotless Mind,2004,Romance,8.3
Moonlight,2016,Drama,7.4
Dune,2021,Science Fiction,8.2
Oppenheimer,2023,Drama,8.8
Barbie,2023,Comedy,7.0
Poor Things,2023,Comedy,8.5
The Holdovers,2023,Drama,8.1
Past Lives,2023,Romance,8.2
Anatomy of a Fall,2023,Thriller,8.3
The Zone of Interest,2023,Drama,8.0
Godzilla Minus One,2023,Action,8.4
Spider-Man: Across the Spider-Verse,2023,Animation,8.9
